samplename,kingdom,phylum,class,order,family,genus,species
M00598:87:000000000-J7KGW:1:1104:16177:3562__kiwi2020__AG0529-0912__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,
M00598:87:000000000-J7KGW:1:1104:16206:27877__kiwi2020__AG0529-0321__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,
M00598:87:000000000-J7KGW:1:1104:16233:8743__kiwi2020__AG0529-0922__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus
M00598:87:000000000-J7KGW:1:1104:16306:21000__kiwi2020__AG0529-1004__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatirhabdium,
M00598:87:000000000-J7KGW:1:1104:16315:15013__kiwi2020__AG0529-0113__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Aetherobacter
M00598:87:000000000-J7KGW:1:1104:16455:23952__kiwi2020__AG0529-0811__515f,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,
M00598:87:000000000-J7KGW:1:1104:16477:10545__kiwi2020__AG0529-0196__515f,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Isosphaeraceae,Aquisphaera,
M00598:87:000000000-J7KGW:1:1104:16488:14953__kiwi2020__AG0529-0742__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Viridibacillus,
M00598:87:000000000-J7KGW:1:1104:16566:16605__kiwi2020__AG0529-0239__515f,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_genera_incertae_sedis,,,
M00598:87:000000000-J7KGW:1:1104:16596:13227__kiwi2020__AG0529-0932__515f,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Isosphaeraceae,Singulisphaera,
M00598:87:000000000-J7KGW:1:1104:16737:20723__kiwi2020__AG0529-0478__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
M00598:87:000000000-J7KGW:1:1104:16763:8359__kiwi2020__AG0529-0962__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum,
M00598:87:000000000-J7KGW:1:1104:16774:13897__kiwi2020__AG0529-0703__515f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,
M00598:87:000000000-J7KGW:1:1104:16826:7455__kiwi2020__AG0529-0534__515f,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,
M00598:87:000000000-J7KGW:1:1104:16841:7007__kiwi2020__AG0529-1010__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,
M00598:87:000000000-J7KGW:1:1104:16993:24844__kiwi2020__AG0529-1009__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudobacteroides,
M00598:87:000000000-J7KGW:1:1104:17025:21941__kiwi2020__AG0529-0958__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,
M00598:87:000000000-J7KGW:1:1104:17077:13110__kiwi2020__AG0529-0556__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,
M00598:87:000000000-J7KGW:1:1104:17110:18992__kiwi2020__AG0529-0558__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Fastidiosibacter,
M00598:87:000000000-J7KGW:1:1104:17123:18716__kiwi2020__AG0529-0922__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Acidibacter,,
M00598:87:000000000-J7KGW:1:1104:17200:21494__kiwi2020__AG0529-0802__515f,Bacteria,Firmicutes,Clostridia,Thermosediminibacterales,Thermosediminibacteraceae,Thermovorax,
M00598:87:000000000-J7KGW:1:1104:17257:27401__kiwi2020__AG0529-0285__515f,Bacteria,Acidobacteria,Acidobacteria_Gp3,Gp3,,,
M00598:87:000000000-J7KGW:1:1104:17259:2104__kiwi2020__AG0529-0826__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae 2,Ornithinibacillus,
M00598:87:000000000-J7KGW:1:1104:17281:3625__kiwi2020__AG0529-0929__515f,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,
M00598:87:000000000-J7KGW:1:1104:17301:23744__kiwi2020__AG0529-1116__515f,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Lacihabitans,
M00598:87:000000000-J7KGW:1:1104:17316:13921__kiwi2020__AG0529-0634__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Phocea,
M00598:87:000000000-J7KGW:1:1104:17368:4251__kiwi2020__AG0529-0321__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
M00598:87:000000000-J7KGW:1:1104:17411:18070__kiwi2020__AG0529-0589__515f,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,
M00598:87:000000000-J7KGW:1:1104:17466:20427__kiwi2020__AG0529-0181__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Novosphingobium,
M00598:87:000000000-J7KGW:1:1104:17487:25706__kiwi2020__AG0529-0321__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
M00598:87:000000000-J7KGW:1:1104:17506:15743__kiwi2020__AG0529-0012__515f,Bacteria,Acidobacteria,Acidobacteria_Gp3,Gp3,,,
M00598:87:000000000-J7KGW:1:1104:17562:6985__kiwi2020__AG0529-1112__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter,
M00598:87:000000000-J7KGW:1:1104:17571:18043__kiwi2020__AG0529-0470__515f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,
M00598:87:000000000-J7KGW:1:1104:17665:15654__kiwi2020__AG0529-0976__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium XlVb,
M00598:87:000000000-J7KGW:1:1104:17725:11177__kiwi2020__AG0529-1112__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,
M00598:87:000000000-J7KGW:1:1104:17750:22617__kiwi2020__AG0529-0914__515f,Bacteria,candidate division WPS-1,WPS-1_genera_incertae_sedis,,,,
M00598:87:000000000-J7KGW:1:1104:17849:24059__kiwi2020__AG0529-0339__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,
M00598:87:000000000-J7KGW:1:1104:1784:14041__kiwi2020__AG0529-0517__515f,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Neochlamydia,
M00598:87:000000000-J7KGW:1:1104:17962:23647__kiwi2020__AG0529-0931__515f,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,
M00598:87:000000000-J7KGW:1:1104:18082:23296__kiwi2020__AG0529-0844__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,
M00598:87:000000000-J7KGW:1:1104:18085:20566__kiwi2020__AG0529-1020__515f,Bacteria,Fibrobacteres,Chitinispirillia,Chitinispirillales,Chitinispirillaceae,Chitinispirillum,
M00598:87:000000000-J7KGW:1:1104:18134:24700__kiwi2020__AG0529-0867__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Nevskiaceae,Panacagrimonas,
M00598:87:000000000-J7KGW:1:1104:18250:8251__kiwi2020__AG0529-0414__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,
M00598:87:000000000-J7KGW:1:1104:18278:25177__kiwi2020__AG0529-0351__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Labilitrichaceae,Labilithrix
M00598:87:000000000-J7KGW:1:1104:18312:8743__kiwi2020__AG0529-0109__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,
M00598:87:000000000-J7KGW:1:1104:18375:11569__kiwi2020__AG0529-0876__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudescherichia,
M00598:87:000000000-J7KGW:1:1104:18400:14163__kiwi2020__AG0529-0809__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,
M00598:87:000000000-J7KGW:1:1104:18413:27479__kiwi2020__AG0529-0534__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
M00598:87:000000000-J7KGW:1:1104:18458:11982__kiwi2020__AG0529-0929__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,
M00598:87:000000000-J7KGW:1:1104:18509:17891__kiwi2020__AG0529-0461__515f,Bacteria,Acidobacteria,Acidobacteria_Gp6,Gp6,,,
M00598:87:000000000-J7KGW:1:1104:18668:19110__kiwi2020__AG0529-0507__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Murimonas,
M00598:87:000000000-J7KGW:1:1104:18692:9468__kiwi2020__AG0529-0683__515f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Lacticigenium,
M00598:87:000000000-J7KGW:1:1104:18713:28678__kiwi2020__AG0529-1061__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter,
M00598:87:000000000-J7KGW:1:1104:18718:17966__kiwi2020__AG0529-0382__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,
M00598:87:000000000-J7KGW:1:1104:18755:20563__kiwi2020__AG0529-1021__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,
M00598:87:000000000-J7KGW:1:1104:18793:15574__kiwi2020__AG0529-0325__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,
M00598:87:000000000-J7KGW:1:1104:18796:15601__kiwi2020__AG0529-0773__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mordavella,
M00598:87:000000000-J7KGW:1:1104:18834:21906__kiwi2020__AG0529-0532__515f,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas/Armatimonadetes_gp3,
M00598:87:000000000-J7KGW:1:1104:18883:23674__kiwi2020__AG0529-1032__515f,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Streptophyta,,
M00598:87:000000000-J7KGW:1:1104:18926:20262__kiwi2020__AG0529-0922__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Nevskiaceae,Stenotrophobium,
M00598:87:000000000-J7KGW:1:1104:18933:7842__kiwi2020__AG0529-0695__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea,
M00598:87:000000000-J7KGW:1:1104:19016:19021__kiwi2020__AG0529-0478__515f,Bacteria,Acidobacteria,Acidobacteria_Gp6,Gp6,,,
M00598:87:000000000-J7KGW:1:1104:19022:18929__kiwi2020__AG0529-0513__515f,Bacteria,Verrucomicrobia,Subdivision3,Subdivision3_genera_incertae_sedis,,,
M00598:87:000000000-J7KGW:1:1104:19066:23189__kiwi2020__AG0529-0935__515f,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Isosphaeraceae,Tautonia,
M00598:87:000000000-J7KGW:1:1104:19096:17295__kiwi2020__AG0529-0787__515f,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,
M00598:87:000000000-J7KGW:1:1104:19145:18417__kiwi2020__AG0529-1148__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,
M00598:87:000000000-J7KGW:1:1104:19161:26497__kiwi2020__AG0529-0425__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,
M00598:87:000000000-J7KGW:1:1104:19162:10087__kiwi2020__AG0529-0325__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
M00598:87:000000000-J7KGW:1:1104:19222:21215__kiwi2020__AG0529-0170__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
M00598:87:000000000-J7KGW:1:1104:19228:11675__kiwi2020__AG0529-0279__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Proteinivoraceae,Proteinivorax,
M00598:87:000000000-J7KGW:1:1104:19236:27777__kiwi2020__AG0529-0866__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodovastum,
M00598:87:000000000-J7KGW:1:1104:19293:28727__kiwi2020__AG0529-0891__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Cystobacteraceae,Vitiosangium
M00598:87:000000000-J7KGW:1:1104:19321:12034__kiwi2020__AG0529-0635__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Sandaracinobacter,
M00598:87:000000000-J7KGW:1:1104:19380:21921__kiwi2020__AG0529-0403__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,
M00598:87:000000000-J7KGW:1:1104:19401:25329__kiwi2020__AG0529-0780__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Monoglobus,
M00598:87:000000000-J7KGW:1:1104:19516:10242__kiwi2020__AG0529-0931__515f,Bacteria,Actinobacteria,Actinobacteria,Nakamurellales,Nakamurellaceae,Nakamurella,
M00598:87:000000000-J7KGW:1:1104:19525:2135__kiwi2020__AG0529-1108__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,Immundisolibacter,
M00598:87:000000000-J7KGW:1:1104:19538:14142__kiwi2020__AG0529-0799__515f,Bacteria,Parcubacteria,Parcubacteria_genera_incertae_sedis,,,,
M00598:87:000000000-J7KGW:1:1104:19580:25126__kiwi2020__AG0529-0980__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Candidatus Carsonella,,
M00598:87:000000000-J7KGW:1:1104:19641:8024__kiwi2020__AG0529-0492__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rudaea,
M00598:87:000000000-J7KGW:1:1104:19800:22833__kiwi2020__AG0529-0714__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
M00598:87:000000000-J7KGW:1:1104:19863:17194__kiwi2020__AG0529-0285__515f,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
M00598:87:000000000-J7KGW:1:1104:19964:5227__kiwi2020__AG0529-1092__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cuneatibacter,
M00598:87:000000000-J7KGW:1:1104:19986:20738__kiwi2020__AG0529-0924__515f,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Dictyobacteraceae,Dictyobacter,
M00598:87:000000000-J7KGW:1:1104:20003:14019__kiwi2020__AG0529-1073__515f,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydia,
M00598:87:000000000-J7KGW:1:1104:20028:16027__kiwi2020__AG0529-0867__515f,Bacteria,Parcubacteria,Parcubacteria_genera_incertae_sedis,,,,
M00598:87:000000000-J7KGW:1:1104:20030:11603__kiwi2020__AG0529-0568__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis,
M00598:87:000000000-J7KGW:1:1104:20061:15493__kiwi2020__AG0529-1000__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Chondromyces
M00598:87:000000000-J7KGW:1:1104:20182:15736__kiwi2020__AG0529-0634__515f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,
M00598:87:000000000-J7KGW:1:1104:20226:17789__kiwi2020__AG0529-0291__515f,Bacteria,Acidobacteria,Acidobacteria_Gp17,Gp17,,,
M00598:87:000000000-J7KGW:1:1104:20429:5537__kiwi2020__AG0529-0911__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter,
M00598:87:000000000-J7KGW:1:1104:20453:14940__kiwi2020__AG0529-0920__515f,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Gryllotalpicola,
M00598:87:000000000-J7KGW:1:1104:20453:15901__kiwi2020__AG0529-1144__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio,
M00598:87:000000000-J7KGW:1:1104:20460:21583__kiwi2020__AG0529-0912__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter,
M00598:87:000000000-J7KGW:1:1104:20536:18875__kiwi2020__AG0529-0294__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,
M00598:87:000000000-J7KGW:1:1104:20635:9066__kiwi2020__AG0529-1086__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flintibacter,
M00598:87:000000000-J7KGW:1:1104:20724:26489__kiwi2020__AG0529-0617__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,
M00598:87:000000000-J7KGW:1:1104:20806:12735__kiwi2020__AG0529-1024__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio,
M00598:87:000000000-J7KGW:1:1104:20827:5176__kiwi2020__AG0529-0294__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,
M00598:87:000000000-J7KGW:1:1104:20957:26441__kiwi2020__AG0529-0848__515f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Mycoavidus,
M00598:87:000000000-J7KGW:1:1104:20964:10767__kiwi2020__AG0529-0912__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Dasania,
M00598:87:000000000-J7KGW:1:1104:20970:15574__kiwi2020__AG0529-0541__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Dysosmobacter,
M00598:87:000000000-J7KGW:1:1104:21073:18798__kiwi2020__AG0529-0922__515f,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
M00598:87:000000000-J7KGW:1:1104:21127:26620__kiwi2020__AG0529-0467__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudescherichia,
M00598:87:000000000-J7KGW:1:1104:21149:17768__kiwi2020__AG0529-0933__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Pseudofulvimonas,
M00598:87:000000000-J7KGW:1:1104:21195:22285__kiwi2020__AG0529-0988__515f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,
M00598:87:000000000-J7KGW:1:1104:21205:6611__kiwi2020__AG0529-0877__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,
M00598:87:000000000-J7KGW:1:1104:21264:19728__kiwi2020__AG0529-0911__515f,Bacteria,Acidobacteria,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,
M00598:87:000000000-J7KGW:1:1104:21355:16713__kiwi2020__AG0529-1010__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,
M00598:87:000000000-J7KGW:1:1104:21366:26909__kiwi2020__AG0529-0912__515f,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Arenimicrobiaceae,Arenimicrobium,
M00598:87:000000000-J7KGW:1:1104:21402:23745__kiwi2020__AG0529-1057__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XII,Guggenheimella,
M00598:87:000000000-J7KGW:1:1104:21478:22639__kiwi2020__AG0529-0859__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lactonifactor,
M00598:87:000000000-J7KGW:1:1104:21536:22284__kiwi2020__AG0529-0961__515f,Bacteria,Latescibacteria,Latescibacteria_genera_incertae_sedis,,,,
M00598:87:000000000-J7KGW:1:1104:21754:23099__kiwi2020__AG0529-0492__515f,Bacteria,Acidobacteria,Acidobacteria_Gp1,Gp1,,,
M00598:87:000000000-J7KGW:1:1104:21939:24149__kiwi2020__AG0529-0026__515f,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter,
M00598:87:000000000-J7KGW:1:1104:21975:10699__kiwi2020__AG0529-0835__515f,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Streptophyta,,
M00598:87:000000000-J7KGW:1:1104:22126:13469__kiwi2020__AG0529-0911__515f,Bacteria,Acidobacteria,Acidobacteria_Gp3,Candidatus Solibacter,,,
M00598:87:000000000-J7KGW:1:1104:22166:25799__kiwi2020__AG0529-0214__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lactonifactor,
M00598:87:000000000-J7KGW:1:1104:22229:24665__kiwi2020__AG0529-1128__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,
M00598:87:000000000-J7KGW:1:1104:22253:22558__kiwi2020__AG0529-0325__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,
M00598:87:000000000-J7KGW:1:1104:22263:14758__kiwi2020__AG0529-0541__515f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Isobaculum,
M00598:87:000000000-J7KGW:1:1104:22370:11872__kiwi2020__AG0529-0586__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,
M00598:87:000000000-J7KGW:1:1104:22393:12067__kiwi2020__AG0529-0278__515f,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,
M00598:87:000000000-J7KGW:1:1104:22421:15652__kiwi2020__AG0529-0406__515f,Archaea,Pacearchaeota,Pacearchaeota Incertae Sedis AR13,,,,
M00598:87:000000000-J7KGW:1:1104:22451:10987__kiwi2020__AG0529-0676__515f,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
M00598:87:000000000-J7KGW:1:1104:22470:7267__kiwi2020__AG0529-0892__515f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,
M00598:87:000000000-J7KGW:1:1104:22488:25527__kiwi2020__AG0529-1010__515f,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Thermoguttaceae,Thermostilla,
M00598:87:000000000-J7KGW:1:1104:22606:11911__kiwi2020__AG0529-0992__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rudaea,
M00598:87:000000000-J7KGW:1:1104:22619:8485__kiwi2020__AG0529-0376__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,
M00598:87:000000000-J7KGW:1:1104:22623:26082__kiwi2020__AG0529-0470__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,
M00598:87:000000000-J7KGW:1:1104:22646:18359__kiwi2020__AG0529-0311__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae 1,Novibacillus,
M00598:87:000000000-J7KGW:1:1104:22865:5409__kiwi2020__AG0529-0151__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,
M00598:87:000000000-J7KGW:1:1104:22895:20082__kiwi2020__AG0529-0002__515f,Bacteria,Parcubacteria,Parcubacteria_genera_incertae_sedis,,,,
M00598:87:000000000-J7KGW:1:1104:22947:14782__kiwi2020__AG0529-1128__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Tepidibaculum,
M00598:87:000000000-J7KGW:1:1104:22966:25211__kiwi2020__AG0529-0139__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Alishewanella,
M00598:87:000000000-J7KGW:1:1104:23012:25004__kiwi2020__AG0529-0864__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XIII,Ihubacter,
M00598:87:000000000-J7KGW:1:1104:23129:15288__kiwi2020__AG0529-0769__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,
M00598:87:000000000-J7KGW:1:1104:23252:16976__kiwi2020__AG0529-0536__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,
M00598:87:000000000-J7KGW:1:1104:23312:13495__kiwi2020__AG0529-0990__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Gallicola,
M00598:87:000000000-J7KGW:1:1104:23353:25783__kiwi2020__AG0529-0449__515f,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Sulfuritalea,
M00598:87:000000000-J7KGW:1:1104:23406:9971__kiwi2020__AG0529-0922__515f,Bacteria,Chloroflexi,Anaerolineae,Aggregatilineales,Aggregatilineaceae,Aggregatilinea,
M00598:87:000000000-J7KGW:1:1104:23439:17300__kiwi2020__AG0529-0417__515f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
M00598:87:000000000-J7KGW:1:1104:23472:18302__kiwi2020__AG0529-1104__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,
M00598:87:000000000-J7KGW:1:1104:23478:15996__kiwi2020__AG0529-0921__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
M00598:87:000000000-J7KGW:1:1104:23536:15247__kiwi2020__AG0529-1093__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cuneatibacter,
M00598:87:000000000-J7KGW:1:1104:23568:18672__kiwi2020__AG0529-0676__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,
M00598:87:000000000-J7KGW:1:1104:23577:23828__kiwi2020__AG0529-0310__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylosinus,
M00598:87:000000000-J7KGW:1:1104:23603:17242__kiwi2020__AG0529-0924__515f,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,
M00598:87:000000000-J7KGW:1:1104:23643:20209__kiwi2020__AG0529-0838__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Parasegetibacter,
